feeder,name,consumers,isOut,,Lat,Lon,,,,,,,,,,,,,,
BAO904,DSS1027,1,false,,4.22122,73.544515,,,,,,,,,,,,,,
BAO905,DSS1028,926,false,,4.20999443,73.54132243,,,,,,,,,,,,,,
BAO911,DSS1029,36,false,,4.212076,73.5369917,,,,,,,,,,,,,,
BAO905,DSS1030,556,false,,4.2154775,73.5447784,,,,,,,,,,,,,,
BAO904,DSS1031,1,false,,4.2043849,73.5399517,,,,,,,,,,,,,,
BAO904,DSS1032,1,false,,4.2132022,73.5395239,,,,,,,,,,,,,,
BAO904,DSS1033,309,false,,4.2140538,73.5405089,,,,,,,,,,,,,,
BAO905,DSS1034,844,false,,4.2100351,73.5425331,,,,,,,,,,,,,,
BAO904,DSS1035,671,false,,4.2199917,73.5447093,,,,,,,,,,,,,,
BAO911,DSS1036,85,false,,4.2147241,73.5377126,,,,,,,,,,,,,,
BAO907,DSS1037,3,false,,4.21521727,73.54274224,,,,,,,,,,,,,,
BAO905,DSS1038,1251,false,,4.207914956,73.54087797,,,,,,,,,,,,,,
BAO902,DSS1039,3,false,,4.2206734,73.5393057,,,,,,,,,,,,,,
BAO911,DSS1040,81,false,,4.2131143,73.5371504,,,,,,,,,,,,,,
BAO902,DSS1041,156,false,,4.2197535,73.5404191,,,,,,,,,,,,,,
BAO907,DSS1042,77,false,,4.21952104,73.54266256,,,,,,,,,,,,,,
BAO902,DSS1043,157,false,,4.2189993,73.538872,,,,,,,,,,,,,,
BAO902,DSS1044,119,false,,4.2214278,73.5396038,,,,,,,,,,,,,,
BAO902,DSS1045,82,false,,4.2166146,73.543183,,,,,,,,,,,,,,
BAO902,DSS1046,108,false,,4.2217963,73.5411696,,,,,,,,,,,,,,
BAO907,DSS1063,808,false,,4.21764386,73.54492958,,,,,,,,,,,,,,
BAO905,DSS1064,531,false,,,,,,,,,,,,,,,,,
BAO907,DSS1072,1,false,,4.2177038,73.5408752,,,,,,,,,,,,,,
BAO902,DSS1073,100,false,,4.2211837,73.5395425,,,,,,,,,,,,,,
BAO902,DSS1074,13,false,,4.2193131,73.5381608,,,,,,,,,,,,,,
